state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,0,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,1,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,2,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,Two-Door Car,Medsize
California,No,0,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,L2,Offer1,Call Center,SUV,Medsize
Washington,No,0,Bachelor,Employed,M,Rural,Single,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,0,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,0,College,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,2,Master,Unemployed,M,Urban,Single,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,0,Bachelor,Not Working,M,Suburban,Divorced,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,1,College,Employed,F,Urban,Married,Special Auto,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,0,College,Unemployed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Four-Door Car,Small
California,No,0,College,Unemployed,F,Suburban,Married,Personal Auto,L3,Offer2,Agent,SUV,Medsize
California,No,2,Master,Employed,M,Urban,Married,Corporate Auto,L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,0,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,Offer2,Branch,SUV,Medsize
California,No,0,College,Employed,M,Urban,Single,Corporate Auto,L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,0,Bachelor,Employed,F,Rural,Married,Corporate Auto,L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,0,High School or Below,Not Working,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,0,College,Not Working,M,Suburban,Married,Personal Auto,L2,Offer3,Call Center,SUV,Medsize
Oregon,No,0,College,Employed,M,Urban,Married,Personal Auto,L2,Offer2,Branch,Four-Door Car,Medsize
